,freq,points_1208,points_1209,points_all
0,0.1,1200,393,30
1,0.2,1200,393,60
2,0.3,1200,393,78
3,0.4,1200,393,102
4,0.5,1200,393,117
5,0.6,1200,393,117
6,0.7,1200,393,159
7,0.8,1197,393,171
8,0.9,1197,390,180
9,1.0,1197,390,213
10,1.1,1182,393,222
11,1.2,1158,378,234
12,1.3,1155,363,240
13,1.4,1122,357,267
14,1.5,1101,351,261
15,1.6,1065,339,267
16,1.7,1065,333,270
17,1.8,1038,327,273
18,1.9,1008,324,270
19,2.0,978,309,264
20,2.1,951,303,258
21,2.2,930,291,252
22,2.3,882,285,243
23,2.4,867,276,237
24,2.5,852,273,237
25,2.6,825,267,240
26,2.7,792,264,234
27,2.8,774,258,231
28,2.9,759,255,231
29,3.0,732,240,222
30,3.1,708,246,228
31,3.2,699,234,216
32,3.3,684,231,216
33,3.4,657,234,216
34,3.5,648,222,207
35,3.6,615,222,201
36,3.7,615,219,204
37,3.8,591,213,195
38,3.9,579,216,198
39,4.0,564,204,186
40,4.1,552,201,186
41,4.2,540,201,186
42,4.3,528,192,177
43,4.4,522,195,177
44,4.5,501,195,177
45,4.6,498,189,174
46,4.7,486,189,171
47,4.8,477,186,168
48,4.9,471,180,165
49,5.0,462,180,165
